"Goals","Team","Opponent","Year","GroupStage","GDP","MarketValue","FifaRank","UefaPoints","CLPlayers"
0,"Switzerland","Czech Republic",2008,1,1.1550861523139,-0.313333392230559,42,-10700,-1
1,"Czech Republic","Switzerland",2008,1,-1.1550861523139,0.313333392230559,-42,10700,1
2,"Portugal","Turkey",2008,1,0.834200224221172,0.936769263217696,-16,10042,5
0,"Turkey","Portugal",2008,1,-0.834200224221172,-0.936769263217696,16,-10042,-5
1,"Czech Republic","Portugal",2008,1,-0.134616239827748,-0.888389692361361,-3,-9258,-4
3,"Portugal","Czech Republic",2008,1,0.134616239827748,0.888389692361361,3,9258,4
1,"Switzerland","Turkey",2008,1,1.85467013670732,-0.264953821374225,23,-9916,0
2,"Turkey","Switzerland",2008,1,-1.85467013670732,0.264953821374225,-23,9916,0
2,"Switzerland","Portugal",2008,1,1.02046991248615,-1.20172308459192,39,-19958,-5
0,"Portugal","Switzerland",2008,1,-1.02046991248615,1.20172308459192,-39,19958,5
3,"Turkey","Czech Republic",2008,1,-0.699583984393424,-0.0483795708563346,19,-784,-1
2,"Czech Republic","Turkey",2008,1,0.699583984393424,0.0483795708563346,-19,784,1
0,"Austria","Croatia",2008,1,1.14766316034281,-1.08808587568112,88,3750,0
1,"Croatia","Austria",2008,1,-1.14766316034281,1.08808587568112,-88,-3750,0
2,"Germany","Poland",2008,1,1.15630400456698,1.37361744830111,-22,27739,1
0,"Poland","Germany",2008,1,-1.15630400456698,-1.37361744830111,22,-27739,-1
2,"Croatia","Germany",2008,1,-1.02926599464272,-0.586217729494972,8,-32114,-1
1,"Germany","Croatia",2008,1,1.02926599464272,0.586217729494972,-8,32114,1
1,"Austria","Poland",2008,1,1.27470117026708,-0.300686156874988,74,-625,0
1,"Poland","Austria",2008,1,-1.27470117026708,0.300686156874988,-74,625,0
0,"Austria","Germany",2008,1,0.118397165700099,-1.67430360517609,96,-28364,-1
1,"Germany","Austria",2008,1,-0.118397165700099,1.67430360517609,-96,28364,1
0,"Poland","Croatia",2008,1,-0.127038009924263,-0.787399718806135,14,4375,0
1,"Croatia","Poland",2008,1,0.127038009924263,0.787399718806135,-14,-4375,0
0,"Romania","France",2008,1,-1.55683079554071,-1.29150084368821,5,-33536,-7
0,"France","Romania",2008,1,1.55683079554071,1.29150084368821,-5,33536,7
3,"Netherlands","Italy",2008,1,0.317073690064454,-0.413354695383327,7,-25105,1
0,"Italy","Netherlands",2008,1,-0.317073690064454,0.413354695383327,-7,25105,-1
1,"Italy","Romania",2008,1,1.42227886738668,1.37263561218885,-9,44396,1
1,"Romania","Italy",2008,1,-1.42227886738668,-1.37263561218885,9,-44396,-1
4,"Netherlands","France",2008,1,0.182521761910431,-0.332219926882682,3,-14245,-5
1,"France","Netherlands",2008,1,-0.182521761910431,0.332219926882682,-3,14245,5
0,"France","Italy",2008,1,0.134551928154023,-0.0811347685006449,4,-10860,6
2,"Italy","France",2008,1,-0.134551928154023,0.0811347685006449,-4,10860,-6
2,"Netherlands","Romania",2008,1,1.73935255745114,0.959280916805523,-2,19291,2
0,"Romania","Netherlands",2008,1,-1.73935255745114,-0.959280916805523,2,-19291,-2
4,"Spain","Russia",2008,1,1.0954163037539,1.10831521500458,-21,59935,7
